molecule_chembl_id,canonical_smiles,standard_value
CHEMBL54197,CCCc1cc(Oc2ccc(C)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,2600.0
CHEMBL52633,CCCc1cc(Oc2ccc(S(C)(=O)=O)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,250.0
CHEMBL300026,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,820.0
CHEMBL50259,O=C1NC(=O)C(c2ccc(OCCCOc3ccc(Oc4ccccc4)cc3)cc2)S1,15000.0
CHEMBL301156,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1ccc(C2SC(=O)NC2=O)cc1,3000.0
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,250.0
CHEMBL320553,COc1ccc(CCc2c(-c3ccccc3)[nH]c3ccc(CC(=O)O)cc23)cc1,50.0
CHEMBL122417,CCCc1ccccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,340.0
CHEMBL117738,CCCc1cc(C=C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,150.0
CHEMBL119066,CCCc1cc(C2CCC(C)(C)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,1760.0
CHEMBL116774,CCCc1cc(C2CCC(O)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,180.0
CHEMBL120570,CCCc1cc(OC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,37.0
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,57.0
CHEMBL118753,CCCc1cc(OC2CCCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,85.0
CHEMBL418874,CCCc1cc(-c2noc3ccccc23)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,30.0
CHEMBL118169,CCCc1cc(OC2CCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,63.0
CHEMBL280293,CCCc1cc(-c2ccccc2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,450.0
CHEMBL117578,CCCc1cc(C(=O)c2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,144.0
CHEMBL419768,CCCc1cc(C2CCC(=O)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,1160.0
CHEMBL118251,CCCc1cc(C2CCCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,640.0
CHEMBL117918,CCCc1cc(C2CCOCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,750.0
CHEMBL118756,CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,490.0
CHEMBL119496,CCCc1cc(C(=O)C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,64.0
CHEMBL331071,CCCc1cc(C(=O)c2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,19.0
CHEMBL121106,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,30.0
CHEMBL121106,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,60.0
CHEMBL333304,CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ccccn1,2000.0
CHEMBL333304,CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ccccn1,50.0
CHEMBL122418,CCCc1cc(CC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,59.0
CHEMBL117165,CCCc1cc(C2CCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,1060.0
CHEMBL332018,CCCc1cc(C2CCC(F)(F)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,540.0
CHEMBL115604,CC[C@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,50000.0
CHEMBL107789,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,44000.0
